"GeneID","Essential","Class","Complex","Phenotype","Motif","Chromosome","Function"
"G234271","Essential","Other kinases","?","Cell morphology and organelle mutants","?",4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234271","Essential","Other kinases","?","Cell morphology and organelle mutants","?",4,"CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle)"
"G234271","Essential","Other kinases","?","Cell morphology and organelle mutants","?",4,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234271","Essential","Other kinases","?","Cell morphology and organelle mutants","?",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234271","Essential","Other kinases","?","Cell morphology and organelle mutants","?",4,"METABOLISM"
"G234275","Non-Essential","Transcription factors","?","?","PS00028",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234275","Non-Essential","Transcription factors","?","?","PS00028",4,"METABOLISM"
"G234275","Non-Essential","Transcription factors","?","?","PS00028",4,"TRANSCRIPTION"
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00357",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00357",4,"TRANSCRIPTION"
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00357",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00357",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00014",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00014",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00046",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00046",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00014",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00014",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00046",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00046",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00014",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00014",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00046",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00046",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00014",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00014",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00046",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00046",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00014",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00014",4,"TRANSCRIPTION"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00046",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00046",4,"TRANSCRIPTION"
"G234285","Non-Essential","GTP-binding proteins","Translocon","?","PS00017",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234285","Non-Essential","GTP-binding proteins","Translocon","?","PS00017",4,"PROTEIN DESTINATION"
"G234285","Non-Essential","GTP-binding proteins","Translocon","?","PS00300",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234285","Non-Essential","GTP-binding proteins","Translocon","?","PS00300",4,"PROTEIN DESTINATION"
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389",4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389",4,"ENERGY"
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389",4,"IONIC HOMEOSTASIS"
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389",4,"TRANSPORT FACILITATION"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","?",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","?",4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","?",4,"ENERGY"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","?",4,"PROTEIN DESTINATION"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","?",4,"TRANSPORT FACILITATION"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","?",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","?",4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","?",4,"ENERGY"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","?",4,"PROTEIN DESTINATION"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","?",4,"TRANSPORT FACILITATION"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","?",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","?",4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","?",4,"ENERGY"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","?",4,"PROTEIN DESTINATION"
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","?",4,"TRANSPORT FACILITATION"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00216",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00216",4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00216",4,"METABOLISM"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00216",4,"TRANSPORT FACILITATION"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00217",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00217",4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00217",4,"METABOLISM"
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Auxotrophies, carbon and","PS00217",4,"TRANSPORT FACILITATION"
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","?","PS00017",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","?","PS00017",4,"PROTEIN SYNTHESIS"
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","?","PS00301",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","?","PS00301",4,"PROTEIN SYNTHESIS"
"G234300","Essential","Polymerases","Transcription complexes/Transcriptosome","?","?",4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234300","Essential","Polymerases","Transcription complexes/Transcriptosome","?","?",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234300","Essential","Polymerases","Transcription complexes/Transcriptosome","?","?",4,"TRANSCRIPTION"
"G234312","Non-Essential","Transcription factors","RNA processing complexes","?","PS00028",4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234312","Non-Essential","Transcription factors","RNA processing complexes","?","PS00028",4,"TRANSCRIPTION"
"G234317","Non-Essential","Protein Kinases","?","Cell cycle defects","?",4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234317","Non-Essential","Protein Kinases","?","Cell morphology and organelle mutants","?",4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234317","Non-Essential","Protein Kinases","?","Conditional phenotypes","?",4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234323","Non-Essential","Transcription factors","?","?","PS00036",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234323","Non-Essential","Transcription factors","?","?","PS00036",5,"METABOLISM"
"G234323","Non-Essential","Transcription factors","?","?","PS00036",5,"TRANSCRIPTION"
"G234326","Non-Essential","GTP/GDP-exchange factors (GEFs)","?","?","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234326","Non-Essential","GTP/GDP-exchange factors (GEFs)","?","?","?",5,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234330","Essential","ATPases","Replication complexes","Cell cycle defects","PS00847",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234330","Essential","ATPases","Replication complexes","Cell cycle defects","PS00847",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234330","Essential","ATPases","Replication complexes","Nucleic acid metabolism defects","PS00847",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234330","Essential","ATPases","Replication complexes","Nucleic acid metabolism defects","PS00847",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234334","Non-Essential","Motorproteins","Cytoskeleton","?","?",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234334","Non-Essential","Motorproteins","Cytoskeleton","?","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234334","Non-Essential","Motorproteins","Cytoskeleton","?","?",5,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","?",5,"TRANSCRIPTION"
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","?",5,"TRANSCRIPTION"
"G234344","Non-Essential","GTP-binding proteins","?","Cell morphology and organelle mutants","PS00017",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234344","Non-Essential","GTP-binding proteins","?","Cell morphology and organelle mutants","PS00017",5,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234344","Non-Essential","GTP-binding proteins","?","Cell morphology and organelle mutants","PS00675",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234344","Non-Essential","GTP-binding proteins","?","Cell morphology and organelle mutants","PS00675",5,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234347","Non-Essential","ATPases","?","?","PS00017",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234347","Non-Essential","ATPases","?","?","PS00017",5,"PROTEIN DESTINATION"
"G234347","Non-Essential","ATPases","?","?","PS00674",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234347","Non-Essential","ATPases","?","?","PS00674",5,"PROTEIN DESTINATION"
"G234359","Non-Essential","Ubiquitin-system proteins","?","?","?",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234359","Non-Essential","Ubiquitin-system proteins","?","?","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234359","Non-Essential","Ubiquitin-system proteins","?","?","?",5,"PROTEIN DESTINATION"
"G234360","Non-Essential","Molecular chaperones","?","?","PS00329",5,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234360","Non-Essential","Molecular chaperones","?","?","PS00329",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234361","Non-Essential","Transcription factors","?","Cell cycle defects","?",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234361","Non-Essential","Transcription factors","?","Cell cycle defects","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234361","Non-Essential","Transcription factors","?","Cell cycle defects","?",5,"TRANSCRIPTION"
"G234361","Non-Essential","Transcription factors","?","Cell morphology and organelle mutants","?",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234361","Non-Essential","Transcription factors","?","Cell morphology and organelle mutants","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234361","Non-Essential","Transcription factors","?","Cell morphology and organelle mutants","?",5,"TRANSCRIPTION"
"G234361","Non-Essential","Transcription factors","?","Conditional phenotypes","?",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234361","Non-Essential","Transcription factors","?","Conditional phenotypes","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234361","Non-Essential","Transcription factors","?","Conditional phenotypes","?",5,"TRANSCRIPTION"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00125",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00125",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00125",5,"ENERGY"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00125",5,"METABOLISM"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00125",5,"PROTEIN SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell cycle defects","PS00125",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell cycle defects","PS00125",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell cycle defects","PS00125",5,"ENERGY"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell cycle defects","PS00125",5,"METABOLISM"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell cycle defects","PS00125",5,"PROTEIN SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00125",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00125",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00125",5,"ENERGY"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00125",5,"METABOLISM"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00125",5,"PROTEIN SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Mating and sporulation defects","PS00125",5,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Mating and sporulation defects","PS00125",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Mating and sporulation defects","PS00125",5,"ENERGY"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Mating and sporulation defects","PS00125",5,"METABOLISM"
"G234368","Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Mating and sporulation defects","PS00125",5,"PROTEIN SYNTHESIS"
"G234369","Essential","GTP/GDP dissociation inhibitors (GDIs)","?","?","?",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234369","Essential","GTP/GDP dissociation inhibitors (GDIs)","?","?","?",5,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234371","Non-Essential","Proteases","?","Nucleic acid metabolism defects","PS00017",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234371","Non-Essential","Proteases","?","Nucleic acid metabolism defects","PS00017",5,"PROTEIN DESTINATION"
"G234371","Non-Essential","Proteases","?","Nucleic acid metabolism defects","PS00017",5,"TRANSCRIPTION"
"G234371","Non-Essential","Proteases","?","Nucleic acid metabolism defects","PS00973",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234371","Non-Essential","Proteases","?","Nucleic acid metabolism defects","PS00973",5,"PROTEIN DESTINATION"
"G234371","Non-Essential","Proteases","?","Nucleic acid metabolism defects","PS00973",5,"TRANSCRIPTION"
"G234371","Non-Essential","Ubiquitin-system proteins","?","Nucleic acid metabolism defects","PS00017",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234371","Non-Essential","Ubiquitin-system proteins","?","Nucleic acid metabolism defects","PS00017",5,"PROTEIN DESTINATION"
"G234371","Non-Essential","Ubiquitin-system proteins","?","Nucleic acid metabolism defects","PS00017",5,"TRANSCRIPTION"
"G234371","Non-Essential","Ubiquitin-system proteins","?","Nucleic acid metabolism defects","PS00973",5,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234371","Non-Essential","Ubiquitin-system proteins","?","Nucleic acid metabolism defects","PS00973",5,"PROTEIN DESTINATION"
"G234371","Non-Essential","Ubiquitin-system proteins","?","Nucleic acid metabolism defects","PS00973",5,"TRANSCRIPTION"
"G234381","Essential","GTP-binding proteins","?","Carbohydrate and lipid biosynthesis defects","PS00017",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234381","Essential","GTP-binding proteins","?","Carbohydrate and lipid biosynthesis defects","PS00017",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234381","Essential","GTP-binding proteins","?","Carbohydrate and lipid biosynthesis defects","PS00017",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234381","Essential","GTP-binding proteins","?","Carbohydrate and lipid biosynthesis defects","PS00675",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234381","Essential","GTP-binding proteins","?","Carbohydrate and lipid biosynthesis defects","PS00675",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234381","Essential","GTP-binding proteins","?","Carbohydrate and lipid biosynthesis defects","PS00675",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234382","Essential","ATPases","?","Cell cycle defects","PS00017",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234382","Essential","ATPases","?","Cell cycle defects","PS00017",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00227",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00227",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00228",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00228",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00227",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00227",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00228",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00228",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Mating and sporulation defects","PS00227",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Mating and sporulation defects","PS00227",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Mating and sporulation defects","PS00228",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","GTP-binding proteins","Cytoskeleton","Mating and sporulation defects","PS00228",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","Tubulins","Cytoskeleton","Cell morphology and organelle mutants","PS00227",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","Tubulins","Cytoskeleton","Cell morphology and organelle mutants","PS00227",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","Tubulins","Cytoskeleton","Cell morphology and organelle mutants","PS00228",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","Tubulins","Cytoskeleton","Cell morphology and organelle mutants","PS00228",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","Tubulins","Cytoskeleton","Conditional phenotypes","PS00227",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","Tubulins","Cytoskeleton","Conditional phenotypes","PS00227",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","Tubulins","Cytoskeleton","Conditional phenotypes","PS00228",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","Tubulins","Cytoskeleton","Conditional phenotypes","PS00228",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","Tubulins","Cytoskeleton","Mating and sporulation defects","PS00227",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","Tubulins","Cytoskeleton","Mating and sporulation defects","PS00227",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234392","Essential","Tubulins","Cytoskeleton","Mating and sporulation defects","PS00228",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234392","Essential","Tubulins","Cytoskeleton","Mating and sporulation defects","PS00228",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234393","Essential","GTP-binding proteins","?","Cell cycle defects","?",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234393","Essential","GTP-binding proteins","?","Cell cycle defects","?",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234393","Essential","GTP-binding proteins","?","Cell morphology and organelle mutants","?",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234393","Essential","GTP-binding proteins","?","Cell morphology and organelle mutants","?",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234393","Essential","GTP-binding proteins","?","Conditional phenotypes","?",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234393","Essential","GTP-binding proteins","?","Conditional phenotypes","?",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234393","Essential","GTP-binding proteins","?","Mating and sporulation defects","?",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234393","Essential","GTP-binding proteins","?","Mating and sporulation defects","?",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234393","Essential","GTP-binding proteins","?","Stress response defects","?",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234393","Essential","GTP-binding proteins","?","Stress response defects","?",6,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234400","Non-Essential","ATPases","?","?","PS00017",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234400","Non-Essential","ATPases","?","?","PS00017",6,"PROTEIN SYNTHESIS"
"G234400","Non-Essential","ATPases","?","?","PS00017",6,"TRANSPORT FACILITATION"
"G234400","Non-Essential","ATPases","?","?","PS00211",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234400","Non-Essential","ATPases","?","?","PS00211",6,"PROTEIN SYNTHESIS"
"G234400","Non-Essential","ATPases","?","?","PS00211",6,"TRANSPORT FACILITATION"
"G234402","Non-Essential","Protein Kinases","?","?","PS00107",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234402","Non-Essential","Protein Kinases","?","?","PS00107",6,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234402","Non-Essential","Protein Kinases","?","?","PS00107",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234402","Non-Essential","Protein Kinases","?","?","PS00108",6,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234402","Non-Essential","Protein Kinases","?","?","PS00108",6,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234402","Non-Essential","Protein Kinases","?","?","PS00108",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234406","?","Transcription factors","?","?","PS00038",6,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
